TSEAMCET-2017: LAST RANK STATEMENT (FIRST PHASE),,,,,,,,,,,,,,,,,,,,,,,,,,
inst_code,inst_name,place,Dist Name ,co_educ,college_type,year_of_estab,branch_code,branch_name,OC_            BOYS,OC_           GIRLS,BC_A_           BOYS,BC_A_        GIRLS,BC_B_        BOYS,BC_B_      GIRLS,BC_C_         BOYS,BC_C_          GIRLS,BC_D_           BOYS,BC_D_          GIRLS,BC_E_          BOYS,BC_E_             GIRLS,SC_                        BOYS,SC_                       GIRLS,ST_                 BOYS,ST_                    GIRLS,TUITION_FEE_2017,Affiliated_to
AURB,AURORAS ENGINEERING COLLEGE,BHONGIR,YBG,COED,PVT,1998,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,94768,94768,94768,94768,94768,94768,94768,94768,94768,95226,94768,94768,94768,94768,96155,96155,59800,JNTUH
AURB,AURORAS ENGINEERING COLLEGE,BHONGIR,YBG,COED,PVT,1998,MEC,MECHANICAL ENGINEERING,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,91963,59800,JNTUH
AURC,AURORA SCIENTIFIC AND TECH RESEARCH ACADEMY,HYDERABAD,HYD,COED,PVT,2001,CIV,CIVIL ENGINEERING,34445,34445,63717,64935,41599,51078,34445,54588,41361,50420,34445,72470,73470,73470,54686,64037,50000,JNTUH
AURC,AURORA SCIENTIFIC AND TECH RESEARCH ACADEMY,HYDERABAD,HYD,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,28846,28846,51467,57351,41804,41804,76681,76681,39121,46403,59421,69924,82548,82548,75163,75163,50000,JNTUH
AURC,AURORA SCIENTIFIC AND TECH RESEARCH ACADEMY,HYDERABAD,HYD,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,33817,33997,77263,77263,53430,60337,89116,89116,49843,49843,90278,90278,96398,96398,70792,82795,50000,JNTUH
AURC,AURORA SCIENTIFIC AND TECH RESEARCH ACADEMY,HYDERABAD,HYD,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,42904,43556,75707,94770,55447,60242,42904,43556,53410,62682,74183,80768,96835,96835,67223,76541,50000,JNTUH
AURC,AURORA SCIENTIFIC AND TECH RESEARCH ACADEMY,HYDERABAD,HYD,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,37811,59535,73340,78358,65325,84109,37811,59535,51671,70968,47879,59535,92113,103158,53031,91038,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CIV,CIVIL ENGINEERING,41442,45863,89235,89235,53592,57166,41442,45863,47330,66129,76714,76714,95858,102652,61255,97670,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,CSE,COMPUTER SCIENCE  AND  ENGINEERING,30754,31336,95281,95281,47193,48540,30754,83447,41900,48291,58954,68589,102534,102534,96205,96205,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,36864,36864,100229,100229,51504,58293,36864,36864,45699,50028,99678,99678,99520,99520,97575,97575,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,39706,39706,39706,89068,64093,66383,100353,100353,55579,67784,81254,81254,72386,85232,96759,96759,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,INF,INFORMATION TECHNOLOGY,37247,37429,97839,97839,57518,57518,37247,37429,48061,48061,37247,37429,37247,37429,37247,37429,50000,JNTUH
AURP,AURORAS TECHNOLOGICAL AND  RESEARCH INSTITUTE,PARVATHAPUR,MDL,COED,PVT,1999,MEC,MECHANICAL ENGINEERING,46917,79400,71692,79400,76449,79400,46917,79400,62459,79400,79823,79823,46917,79400,98455,98455,50000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,CSE,COMPUTER SCIENCE  AND  ENGINEERING,41023,41122,92977,92977,67041,67041,41023,41122,53655,55114,96465,96465,91917,102151,96917,96917,60000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,57307,57307,79708,79708,76238,76238,68210,68210,66443,66443,80609,80609,57307,57307,85705,85705,60000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,88513,99867,95279,99867,88513,99867,88513,99867,92901,101159,88513,101784,88513,99867,88513,99867,60000,JNTUH
AVIH,AVANTHI INST OF ENGG AND TECHNOLOGY,HAYATHNAGAR,RR,COED,PVT,2005,MEC,MECHANICAL ENGINEERING,82650,88132,93335,103161,100756,101996,90685,93255,90450,90450,101339,101339,82650,88132,99999,99999,60000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CIV,CIVIL ENGINEERING,70159,82575,96287,96287,92799,96040,70159,82575,81411,96830,93299,94741,98496,98496,71051,82575,64000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,CSE,COMPUTER SCIENCE  AND  ENGINEERING,37889,37889,87175,93334,62466,63191,37889,37889,50843,62675,99929,99929,99410,99410,92975,96339,64000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,47915,47941,79520,81995,78228,78228,66512,66512,63868,73057,80106,80106,47915,55272,97353,97353,64000,JNTUH
AVNI,AVN INST OF ENGG TECHNOLOGY,IBRAHIMPATAN,RR,COED,PVT,2009,MEC,MECHANICAL ENGINEERING,76574,89121,98883,98883,97041,100032,76574,90999,86749,89121,103148,103148,86939,89121,90093,90093,64000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CIV,CIVIL ENGINEERING,42800,42800,86943,92365,60497,76380,85225,85225,53770,64364,88446,88446,97607,103372,71333,78440,67000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,30245,30264,95636,101166,44851,44851,63065,63065,43415,43415,97717,97717,96599,103065,102187,102187,67000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,36609,36646,78482,78802,53350,60855,36854,60517,54226,54226,96621,96621,54195,91938,102159,102159,67000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,60013,60013,75466,88444,79109,91748,70817,70817,71706,74868,79963,100619,92463,92463,94074,95615,67000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,INF,INFORMATION TECHNOLOGY,34629,34982,53339,59584,48067,58344,34629,51388,47883,54671,56619,56619,48781,48781,34629,34982,67000,JNTUH
BIET,BHARAT INSTITUTE OF ENGG AND TECHNOLOGY,IBRAHIMPATNAM,RR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,51628,97445,95545,97445,73064,97445,51628,97445,65695,100325,96600,97445,85848,97851,75483,97445,67000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,2001,CIV,CIVIL ENGINEERING,101239,102429,101239,102631,101248,102429,101239,102429,101239,102429,101239,102429,103381,103381,101239,102429,50000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,2001,CSE,COMPUTER SCIENCE  AND  ENGINEERING,81283,81283,85068,90345,81283,81283,81283,81283,81283,81283,93196,93318,102332,102332,103434,103434,50000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,2001,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,99014,99377,101992,103106,99014,99377,99014,99377,99991,99991,101005,101005,99014,99377,102536,102536,50000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,2001,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,76044,90899,76044,90899,101857,102260,76044,90899,101964,101964,76044,90899,97910,97910,103518,103518,50000,JNTUH
BITN,BALAJI INSTITUTE OF TECHNOLOGY AND SCI,NARSAMPET,WGR,COED,PVT,2001,MEC,MECHANICAL ENGINEERING,70286,70286,102452,102452,101645,101645,70286,70286,70286,70286,99649,99649,97263,97263,89783,89783,50000,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CIV,CIVIL ENGINEERING,101029,101029,101029,101029,101029,101029,101029,101029,101029,101029,101029,101029,101497,101497,101029,101029,50400,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,CSE,COMPUTER SCIENCE  AND  ENGINEERING,73780,73780,94376,94376,73780,73780,73780,73780,99947,99947,73780,73780,73780,73780,85530,85530,50400,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,2006,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,90736,102377,90736,102377,90736,102377,90736,102377,90736,102377,90736,102377,97770,102377,90736,102377,50400,JNTUH
