State_Name,District_Name,Crop_Year,Season,Crop,Water level(mm),Humidity,Temperature,Area,Type_ of _Soil ,Fertilizers,Cost_ of_ Production,Production
Telangana ,ADILABAD,2006,Kharif     ,Soyabean,550,73,26,81192,loamy soil,1,364.4,4
Telangana ,ADILABAD,2006,Kharif     ,Urad,120,73,26,17831,Sandy loam,1,58,4
Telangana ,ADILABAD,2006,Rabi       ,Arhar/Tur,1000,73,26,2912, clay loams,1,103.3,2024
Telangana ,ADILABAD,2006,Rabi       ,Bajra,400,73,26,1035,Sandy soil,1,167.9,1
Telangana ,ADILABAD,2006,Rabi       ,Dry chillies,500,73,26,1183,Sandy soil,1,160.9,404
Telangana ,ADILABAD,2006,Rabi       ,Gram,900,73,26,22127,Sandy soil,1,182.5,160
Telangana ,ADILABAD,2006,Rabi       ,Groundnut,500,73,26,4813,Sandy loam,1,195.7,15
Telangana ,ADILABAD,2006,Rabi       ,Horse-gram,800,73,26,1065,Sandy  soil,1,178.4,2
Telangana ,ADILABAD,2006,Rabi       ,Jowar,700,73,26,57042,Clay soil,1,121.8,48
Telangana ,ADILABAD,2006,Rabi       ,Linseed,750,73,26,2129,well drained soil,1,48.8,12
Telangana ,ADILABAD,2006,Rabi       ,Maize,650,73,26,5771,Clay soil,1,286,1749
Telangana ,ADILABAD,2006,Rabi       ,Moong(Green Gram),1500,73,26,3749,Sandy loam,1,167.9,19
Telangana ,ADILABAD,2006,Rabi       ,Onion,400,73,26,401,Sandy loam,1,409.1,27
Telangana ,ADILABAD,2006,Rabi       ,Other  Rabi pulses,850,73,26,734,Sandy  soil,1,239.3,3
Telangana ,ADILABAD,2006,Rabi       ,Rice,1700,73,26,9019,Clay Soil,1,213.3,200
Telangana ,ADILABAD,2006,Rabi       ,Safflower,100,73,26,333,well drained soil,1,42.1,4
Telangana ,ADILABAD,2006,Rabi       ,Sesamum,600,73,26,10012,Sandy loam,1,137.9,4
Telangana ,ADILABAD,2006,Rabi       ,Urad,120,73,26,1107,Sandy loam,1,58,5
Telangana ,ADILABAD,2006,Rabi       ,Wheat,500,73,26,3222,Clay loam,1,140.1,8
Telangana ,ADILABAD,2006,Whole Year ,Banana,1700,73,26,41,Sandy Soil,1,339.4,24
Telangana ,ADILABAD,2006,Whole Year ,Cashewnut,2000,73,26,62,Sandy Soil,1,183.1,1
Telangana ,ADILABAD,2006,Whole Year ,Coriander,400,73,26,731,well drained soil,1,261.3,3
Telangana ,ADILABAD,2006,Whole Year ,Potato,600,73,26,3,Sandy loam soil,1,259.1,27
Telangana ,ADILABAD,2006,Whole Year ,Sugarcane,2000,73,26,566,Sandy loam,1,144.3,432
