State_Name,District_Name,Crop_Year,Season,Crop,Humidity,Temperature,Fertilizers,Area,Production,Type_ of _Soil ,Cost_ of_ Prediction
Telangana ,ADILABAD,2010,Rabi       ,Jowar,73,26,1,14536,144,Clay soil,121.8
Telangana ,ADILABAD,2010,Rabi       ,Linseed,73,26,1,133,17,well drained soil,48.8
Telangana ,ADILABAD,2010,Rabi       ,Maize,73,26,1,6725,3313,Clay soil,286
Telangana ,ADILABAD,2010,Rabi       ,Moong(Green Gram),73,26,1,2428,95,Sandy loam,167.9
Telangana ,ADILABAD,2010,Rabi       ,Onion,73,26,1,418,67,Sandy loam,409.1
Telangana ,ADILABAD,2010,Rabi       ,Other  Rabi pulses,73,26,1,63,14,Sandy  soil,239.3
Telangana ,ADILABAD,2010,Rabi       ,Rice,73,26,1,27644,28063,Clay Soil,213.3
Telangana ,ADILABAD,2010,Rabi       ,Safflower,73,26,1,112,7,well drained soil,42.1
Telangana ,ADILABAD,2010,Rabi       ,Sesamum,73,26,1,3286,12,Sandy loam,137.9
Telangana ,ADILABAD,2010,Rabi       ,Urad,73,26,1,779,16,Sandy loam,58
Telangana ,ADILABAD,2010,Rabi       ,Wheat,73,26,1,4046,21,Clay loam,140.1
Telangana ,ADILABAD,2010,Whole Year ,Banana,73,26,1,6,84,Sandy Soil,339.4
Telangana ,ADILABAD,2010,Whole Year ,Cashewnut,73,26,1,29,1,Sandy Soil,183.1
Telangana ,ADILABAD,2010,Whole Year ,Coriander,73,26,1,300,5,well drained soil,261.3
Telangana ,ADILABAD,2010,Whole Year ,Garlic,73,26,1,25,53,Sandy loam,308.2
Telangana ,ADILABAD,2010,Whole Year ,Sugarcane,73,26,1,8,672,Sandy loam,144.3
Telangana ,ADILABAD,2010,Whole Year ,Sunflower,73,26,1,1617,104,Sandy soil,85.6
Telangana ,ADILABAD,2010,Whole Year ,Tobacco,73,26,1,2,28,Sandy clay,140.9
Telangana ,ADILABAD,2010,Whole Year ,Turmeric,73,26,1,6245,127,Clay soil,200.2
Telangana ,ADILABAD,2011,Kharif     ,Arhar/Tur,73,26,0,38832,23260, clay loams,103.3
Telangana ,ADILABAD,2011,Kharif     ,Castor seed,73,26,1,164,6,well drained soil,220.9
Telangana ,ADILABAD,2011,Kharif     ,Cotton(lint),73,26,1,361169,30618,Sandy Soil,310.8
Telangana ,ADILABAD,2011,Kharif     ,Cowpea(Lobia),73,26,1,143,6,Sandy soil,178.4
Telangana ,ADILABAD,2011,Kharif     ,Dry chillies,73,26,1,3533,845,Sandy soil,160.9
Telangana ,ADILABAD,2011,Kharif     ,Jowar,73,26,1,17306,151,Clay soil,121.8
Telangana ,ADILABAD,2011,Kharif     ,Maize,73,26,1,13118,3538,Clay soil,286
Telangana ,ADILABAD,2011,Kharif     ,Moong(Green Gram),73,26,1,7042,100,Sandy loam,167.9
Telangana ,ADILABAD,2011,Kharif     ,Other Kharif pulses,73,26,1,324,23,Sandy soil,179.5
Telangana ,ADILABAD,2011,Kharif     ,Rice,73,26,1,60681,28934,Clay Soil,213.3
Telangana ,ADILABAD,2011,Kharif     ,Sesamum,73,26,1,574,13,Sandy loam,137.9
Telangana ,ADILABAD,2011,Kharif     ,Soyabean,73,26,1,58983,8,loamy soil,364.4
Telangana ,ADILABAD,2011,Kharif     ,Urad,73,26,1,8221,21,Sandy loam,58
Telangana ,ADILABAD,2011,Rabi       ,Arhar/Tur,73,26,1,591,354, clay loams,103.3
Telangana ,ADILABAD,2011,Rabi       ,Bajra,73,26,1,524,2,Sandy soil,167.9
Telangana ,ADILABAD,2011,Rabi       ,Cowpea(Lobia),73,26,1,22,7,Sandy soil,178.4
Telangana ,ADILABAD,2011,Rabi       ,Dry chillies,73,26,1,265,863,Sandy soil,160.9
Telangana ,ADILABAD,2011,Rabi       ,Gram,73,26,1,6232,259,Sandy soil,182.5
